,out_degree,in_degree,out_degree_centrality,in_degree_centrality,avg_trust_given,avg_trust_received,total_trust_given,total_trust_received,trust_ratio,positive_trust_given_count,negative_trust_given_count,positive_trust_received_count,negative_trust_received_count,positive_trust_given_avg,negative_trust_given_avg,trust_selectivity,betweenness_centrality,eigenvector_centrality,community
2378,2,2,0.0005289605924358636,0.0005289605924358636,2.0,1.0,4,2,2.0,2,0,2,0,2.0,0.0,1.0,4.699357274795943e-05,0.0018179883974058402,5
126,36,25,0.009521290663845544,0.006612007405448294,1.0277777777777777,2.36,37,59,0.6271186440677966,33,3,25,0,2.0303030303030303,-10.0,11.915895061728397,0.0033542952553728984,0.008840452725162382,6
3245,1,1,0.0002644802962179318,0.0002644802962179318,3.0,1.0,3,1,3.0,1,0,1,0,3.0,0.0,0.0,0.0,0.0010665628613808571,5
783,3,4,0.0007934408886537954,0.0010579211848717272,2.3333333333333335,2.5,7,10,0.7,3,0,4,0,2.3333333333333335,0.0,0.8888888888888888,9.769842051923876e-05,0.0021182175156781485,8
493,8,10,0.0021158423697434543,0.002644802962179318,2.0,1.7,16,17,0.9411764705882353,8,0,9,1,2.0,0.0,1.0,0.00020238034100026847,0.01052499255290521,13
1358,2,3,0.0005289605924358636,0.0007934408886537954,2.5,1.6666666666666667,5,5,1.0,2,0,3,0,2.5,0.0,0.25,6.083928866758895e-05,0.003554140329869967,5
1180,6,5,0.0015868817773075907,0.001322401481089659,1.5,1.2,9,6,1.5,6,0,5,0,1.5,0.0,0.5833333333333334,3.421127872535237e-05,0.0024674814288484963,5
529,12,12,0.0031737635546151815,0.0031737635546151815,1.5,1.25,18,15,1.2,12,0,12,0,1.5,0.0,0.5833333333333334,0.001049199885075395,0.0013333972029284896,5
333,13,13,0.0034382438508331133,0.0034382438508331133,1.4615384615384615,1.9230769230769231,19,25,0.76,12,1,13,0,2.4166666666666665,-10.0,13.633136094674558,0.00018441720613820273,0.014318763055338123,3
1538,3,3,0.0007934408886537954,0.0007934408886537954,2.0,1.3333333333333333,6,4,1.5,3,0,3,0,2.0,0.0,0.6666666666666666,6.352677626821283e-06,0.002580028860518097,5
2282,1,1,0.0002644802962179318,0.0002644802962179318,3.0,2.0,3,2,1.5,1,0,1,0,3.0,0.0,0.0,0.0,0.0021331257227617142,5
1519,3,3,0.0007934408886537954,0.0007934408886537954,2.0,1.3333333333333333,6,4,1.5,3,0,3,0,2.0,0.0,0.6666666666666666,9.04496957536136e-06,0.0024388676611082896,5
2966,1,1,0.0002644802962179318,0.0002644802962179318,3.0,1.0,3,1,3.0,1,0,1,0,3.0,0.0,0.0,0.0,0.0010665628613808571,5
474,12,11,0.0031737635546151815,0.0029092832583972497,0.6666666666666666,1.5454545454545454,8,17,0.47058823529411764,11,1,11,0,1.6363636363636365,-10.0,10.722222222222221,0.000931111625406353,0.002442738660824335,10
330,19,17,0.0050251256281407045,0.00449616503570484,0.21052631578947367,1.4705882352941178,4,25,0.16,15,4,17,0,1.6666666666666667,-5.25,10.797783933518007,0.0005295680539839133,0.014258963323730797,5
958,8,9,0.0021158423697434543,0.002380322665961386,1.5,0.8888888888888888,12,8,1.5,8,0,8,1,1.5,0.0,0.5,0.0003541486720758989,0.0010718835050755051,5
17,111,108,0.029357312880190427,0.028563871991536635,2.099099099099099,2.009259259259259,233,217,1.0737327188940091,110,1,107,1,2.209090909090909,-10.0,3.2964856748640536,0.012142427496861058,0.09655247226787797,10
1295,4,4,0.0010579211848717272,0.0010579211848717272,1.75,1.25,7,5,1.4,4,0,4,0,1.75,0.0,0.6875,2.080046786980111e-05,0.004468645318083669,5
38,80,59,0.021158423697434543,0.015604337476857976,1.8375,2.4915254237288136,147,147,1.0,77,3,59,0,2.1818181818181817,-7.0,7.06109375,0.009454305305337498,0.061034745709139096,5
1952,1,1,0.0002644802962179318,0.0002644802962179318,3.0,2.0,3,2,1.5,1,0,1,0,3.0,0.0,0.0,0.0,0.0021331257227617142,5
223,19,17,0.0050251256281407045,0.00449616503570484,1.8421052631578947,2.1176470588235294,35,36,0.9722222222222222,19,0,17,0,1.8421052631578947,0.0,2.1329639889196677,0.009830875067984917,0.02786716009199531,17
625,6,8,0.0015868817773075907,0.0021158423697434543,2.1666666666666665,1.625,13,13,1.0,6,0,8,0,2.1666666666666665,0.0,1.1388888888888888,0.0002981906116616701,0.0028318037275617608,6
1392,2,2,0.0005289605924358636,0.0005289605924358636,1.5,2.5,3,5,0.6,2,0,2,0,1.5,0.0,0.25,3.6408449326650175e-05,0.0054051168702762015,5
3355,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
1881,2,2,0.0005289605924358636,0.0005289605924358636,1.5,1.5,3,3,1.0,2,0,2,0,1.5,0.0,0.25,0.0,0.002145440210829305,5
58,131,79,0.034646918804549065,0.02089394340121661,0.7251908396946565,1.2911392405063291,95,102,0.9313725490196079,110,21,75,4,1.7727272727272727,-4.761904761904762,7.832876871977158,0.01989874292498295,0.03468754983252601,2
96,47,43,0.012430573922242795,0.011372652737371067,1.0638297872340425,1.7209302325581395,50,74,0.6756756756756757,44,3,43,0,1.4772727272727273,-5.0,4.2299683114531454,0.008457780427342918,0.015913218392454808,6
1580,4,4,0.0010579211848717272,0.0010579211848717272,1.5,1.0,6,4,1.5,4,0,4,0,1.5,0.0,0.25,4.744451931947904e-05,0.0021037503367154617,2
196,22,23,0.005818566516794499,0.006083046813012432,-0.045454545454545456,1.7391304347826086,-1,40,-0.025,18,4,23,0,1.6666666666666667,-7.75,16.95247933884298,0.0012164447476197134,0.017517600932238107,10
146,35,35,0.009256810367627613,0.009256810367627613,1.457142857142857,1.457142857142857,51,51,1.0,35,0,35,0,1.457142857142857,0.0,0.4195918367346939,0.0031990687941172444,0.016060226658296047,20
416,12,13,0.0031737635546151815,0.0034382438508331133,2.6666666666666665,1.5384615384615385,32,20,1.6,12,0,12,1,2.6666666666666665,0.0,3.8888888888888893,0.0010754790659264692,-0.006966592722145152,2
1198,4,4,0.0010579211848717272,0.0010579211848717272,1.75,1.5,7,6,1.1666666666666667,4,0,4,0,1.75,0.0,0.6875,6.820503747575473e-05,0.003040422263146093,2
3319,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
1867,3,3,0.0007934408886537954,0.0007934408886537954,1.6666666666666667,1.0,5,3,1.6666666666666667,3,0,3,0,1.6666666666666667,0.0,0.2222222222222222,2.1760611551466384e-05,0.0014615341500492283,5
896,6,7,0.0015868817773075907,0.0018513620735255225,1.5,1.2857142857142858,9,9,1.0,6,0,7,0,1.5,0.0,0.5833333333333334,5.7626564937066617e-05,0.002076056178779251,3
617,9,10,0.002380322665961386,0.002644802962179318,1.8888888888888888,1.3,17,13,1.3076923076923077,9,0,9,1,1.8888888888888888,0.0,1.4320987654320987,0.00014670479596615597,0.0016122812443175154,8
3300,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
1877,2,2,0.0005289605924358636,0.0005289605924358636,1.5,1.5,3,3,1.0,2,0,2,0,1.5,0.0,0.25,4.189285878732989e-06,0.002169717721632362,5
462,14,13,0.003702724147051045,0.0034382438508331133,1.7142857142857142,1.3846153846153846,24,18,1.3333333333333333,14,0,13,0,1.7142857142857142,0.0,1.204081632653061,0.0007410011966090779,0.004294534885774383,20
3279,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
454,14,13,0.003702724147051045,0.0034382438508331133,1.5,1.3846153846153846,21,18,1.1666666666666667,13,1,13,0,1.6923076923076923,-1.0,1.6785714285714286,0.0004788365196297649,0.006740790760563901,5
1860,3,3,0.0007934408886537954,0.0007934408886537954,2.0,1.0,6,3,2.0,3,0,3,0,2.0,0.0,0.6666666666666666,1.154854755976344e-05,0.0012593150474020012,5
121,34,32,0.00899233007140968,0.008463369478973817,1.8529411764705883,1.90625,63,61,1.0327868852459017,34,0,32,0,1.8529411764705883,0.0,1.0666089965397927,0.003965841276750921,0.021180700101997706,5
151,20,20,0.005289605924358636,0.005289605924358636,2.75,2.5,55,50,1.1,19,1,19,1,3.0,-2.0,13.6875,0.0017571935339975964,0.002188095880600538,5
1570,4,4,0.0010579211848717272,0.0010579211848717272,1.75,1.0,7,4,1.75,4,0,4,0,1.75,0.0,0.6875,3.475698316200484e-05,0.0018417280236759546,10
1573,3,3,0.0007934408886537954,0.0007934408886537954,2.0,1.3333333333333333,6,4,1.5,3,0,3,0,2.0,0.0,0.6666666666666666,1.1502565434810548e-05,0.003224670854747016,5
1063,6,6,0.0015868817773075907,0.0015868817773075907,1.5,1.1666666666666667,9,7,1.2857142857142858,6,0,6,0,1.5,0.0,0.25,0.00013256496838815447,0.00322099989779597,5
1353,4,4,0.0010579211848717272,0.0010579211848717272,1.25,1.25,5,5,1.0,4,0,4,0,1.25,0.0,0.1875,1.8171495222723316e-05,0.002530356821483698,5
459,11,11,0.0029092832583972497,0.0029092832583972497,1.3636363636363635,1.6363636363636365,15,18,0.8333333333333334,11,0,11,0,1.3636363636363635,0.0,0.23140495867768598,0.0005037629845513192,0.00279948617872853,2
2334,2,2,0.0005289605924358636,0.0005289605924358636,2.5,1.0,5,2,2.5,2,0,2,0,2.5,0.0,0.25,6.083928866758895e-05,0.0024423462198562007,5
1267,4,4,0.0010579211848717272,0.0010579211848717272,1.25,1.25,5,5,1.0,4,0,4,0,1.25,0.0,0.1875,6.729717713226986e-05,0.002448232788270987,8
1060,6,6,0.0015868817773075907,0.0015868817773075907,1.3333333333333333,1.1666666666666667,8,7,1.1428571428571428,6,0,6,0,1.3333333333333333,0.0,0.22222222222222224,0.00010537353309914496,0.002685396563829978,2
1061,4,4,0.0010579211848717272,0.0010579211848717272,2.0,1.75,8,7,1.1428571428571428,4,0,4,0,2.0,0.0,0.5,7.448180314526276e-05,0.00594730866639204,2
7431,4,3,0.0010579211848717272,0.0007934408886537954,1.75,-2.6666666666666665,7,-8,-0.875,4,0,2,1,1.75,0.0,0.1875,8.168978645729689e-05,0.0008353604103672664,2
1355,2,3,0.0005289605924358636,0.0007934408886537954,2.0,1.6666666666666667,4,5,0.8,2,0,3,0,2.0,0.0,0.0,5.9723020271226806e-05,0.001081527907986392,5
71,21,22,0.005554086220576567,0.005818566516794499,3.1904761904761907,4.0,67,88,0.7613636363636364,21,0,22,0,3.1904761904761907,0.0,6.344671201814059,0.003676315289820242,0.00963695550893308,5
3070,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
2113,1,1,0.0002644802962179318,0.0002644802962179318,2.0,2.0,2,2,1.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0021331257227617142,5
3001,2,1,0.0005289605924358636,0.0002644802962179318,1.5,1.0,3,1,3.0,2,0,1,0,1.5,0.0,0.25,0.0,2.1944810028177796e-06,5
396,13,14,0.0034382438508331133,0.003702724147051045,1.7692307692307692,1.5,23,21,1.0952380952380953,13,0,14,0,1.7692307692307692,0.0,2.0236686390532546,0.0002727372276628213,0.016933514031755015,19
2260,1,1,0.0002644802962179318,0.0002644802962179318,2.0,2.0,2,2,1.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0021331257227617142,5
142,45,46,0.01190161332980693,0.012166093626024863,1.5555555555555556,1.1304347826086956,70,52,1.3461538461538463,44,1,43,3,1.8181818181818181,-10.0,5.669135802469136,0.0026315422756444475,-0.001578587837298999,10
2238,2,2,0.0005289605924358636,0.0005289605924358636,1.5,1.0,3,2,1.5,2,0,2,0,1.5,0.0,0.25,8.565954348932991e-06,0.0012249598301586743,5
123,36,33,0.009521290663845544,0.008727849775191749,1.1111111111111112,1.8484848484848484,40,61,0.6557377049180327,34,2,33,0,1.7647058823529411,-10.0,8.820987654320987,0.0022690926150904355,0.03074002663869305,3
2942,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
1509,4,4,0.0010579211848717272,0.0010579211848717272,1.25,1.0,5,4,1.25,4,0,4,0,1.25,0.0,0.1875,2.255908886893438e-05,0.0012909427486536965,5
7410,7,6,0.0018513620735255225,0.0015868817773075907,1.4285714285714286,-1.0,10,-6,-1.6666666666666667,7,0,4,2,1.4285714285714286,0.0,0.24489795918367346,8.230803165399091e-05,-0.009093453228732607,10
1760,14,12,0.003702724147051045,0.0031737635546151815,0.2857142857142857,0.25,4,3,1.3333333333333333,13,1,11,1,1.0769230769230769,-10.0,8.204081632653063,0.00017397177048005368,-0.021180713286361598,20
2876,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
259,25,24,0.006612007405448294,0.006347527109230363,1.0,1.3333333333333333,25,32,0.78125,24,1,24,0,1.4583333333333333,-10.0,5.92,0.0006260970912554698,0.013180677333285746,3
1493,2,3,0.0005289605924358636,0.0007934408886537954,1.5,1.3333333333333333,3,4,0.75,2,0,3,0,1.5,0.0,0.25,0.0,0.0029509026294313764,5
2845,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
370,16,15,0.004231684739486909,0.003967204443268977,1.0,1.4666666666666666,16,22,0.7272727272727273,15,1,14,1,1.7333333333333334,-10.0,9.25,0.0006707562490269786,0.021010521525777766,18
2844,3,1,0.0007934408886537954,0.0002644802962179318,2.0,1.0,6,1,6.0,3,0,1,0,2.0,0.0,0.0,2.935543754547703e-05,0.0010665628613808571,16
2167,2,2,0.0005289605924358636,0.0005289605924358636,1.5,1.0,3,2,1.5,2,0,2,0,1.5,0.0,0.25,0.0,0.0012310628540110992,5
156,48,39,0.012695054218460726,0.01031473155249934,1.375,1.2564102564102564,66,49,1.346938775510204,47,1,39,0,1.6170212765957446,-10.0,4.609375,0.002719140682386853,0.022059380415343978,3
2808,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
255,35,34,0.009256810367627613,0.00899233007140968,1.2285714285714286,0.9411764705882353,43,32,1.34375,35,0,33,1,1.2285714285714286,0.0,0.23346938775510212,0.0024818340036765417,-0.0013564984044029521,2
736,3,3,0.0007934408886537954,0.0007934408886537954,4.0,3.6666666666666665,12,11,1.0909090909090908,3,0,3,0,4.0,0.0,8.0,0.0,0.0020463051969250193,5
7603,66,93,0.017455699550383497,0.024596667548267656,2.8181818181818183,-2.2903225806451615,186,-213,-0.8732394366197183,65,1,52,41,3.0153846153846153,-10.0,10.269972451790634,0.01991070448204861,-0.03939856875746081,10
346,16,15,0.004231684739486909,0.003967204443268977,1.9375,1.6,31,24,1.2916666666666667,16,0,15,0,1.9375,0.0,1.30859375,0.00043810355348093086,0.006615358213388658,5
9,143,133,0.03782068235916425,0.03517587939698493,1.3006993006993006,2.4135338345864663,186,321,0.5794392523364486,126,17,126,7,2.1746031746031744,-5.176470588235294,11.245244266223288,0.02745037954247217,0.15399921573106745,3
75,54,53,0.014281935995768318,0.014017455699550384,1.5740740740740742,1.5849056603773586,85,84,1.0119047619047619,54,0,53,0,1.5740740740740742,0.0,1.2074759945130313,0.01909075010620098,0.05766682502524131,18
175,27,27,0.007140967997884159,0.007140967997884159,1.7037037037037037,1.5925925925925926,46,43,1.069767441860465,27,0,27,0,1.7037037037037037,0.0,0.7270233196159125,0.002453607681272284,0.011510014095754114,8
2754,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
22,148,103,0.0391430838402539,0.027241470510446973,1.864864864864865,1.9902912621359223,276,205,1.3463414634146342,136,12,101,2,2.3970588235294117,-4.166666666666667,6.83308984660336,0.03435879123544168,0.10464580867376069,10
155,39,37,0.01031473155249934,0.009785770960063476,1.1025641025641026,1.3243243243243243,43,49,0.8775510204081632,37,2,37,0,1.4594594594594594,-5.5,3.733070348454963,0.00933096793428972,0.014808355601334049,8
1261,4,4,0.0010579211848717272,0.0010579211848717272,1.25,1.25,5,5,1.0,4,0,4,0,1.25,0.0,0.1875,0.0005922651007146022,0.002137610269406725,5
2552,2,1,0.0005289605924358636,0.0002644802962179318,2.0,1.0,4,1,4.0,2,0,1,0,2.0,0.0,0.0,0.0,5.82314904002377e-05,5
2586,1,1,0.0002644802962179318,0.0002644802962179318,2.0,1.0,2,1,2.0,1,0,1,0,2.0,0.0,0.0,0.0,0.0010665628613808571,5
710,7,6,0.0018513620735255225,0.0015868817773075907,1.7142857142857142,1.8333333333333333,12,11,1.0909090909090908,7,0,6,0,1.7142857142857142,0.0,0.489795918367347,0.00039247449454719364,0.016489028911699136,17
578,9,7,0.002380322665961386,0.0018513620735255225,2.0,2.0,18,14,1.2857142857142858,9,0,7,0,2.0,0.0,2.4444444444444446,0.0002655259525228188,0.007229559853376674,5
472,10,9,0.002644802962179318,0.002380322665961386,1.8,1.8888888888888888,18,17,1.0588235294117647,10,0,9,0,1.8,0.0,0.7600000000000001,0.0004885946627542133,0.003764998347818898,16
